rbid,family,variant
2917,legacy,legacy_table
2918,legacy,legacy_table
2919,legacy,legacy_table
2920,legacy,legacy_table
2921,legacy,legacy_table
2922,legacy,legacy_table
2923,legacy,legacy_table
2924,legacy,legacy_table
2925,legacy,legacy_table
2926,legacy,legacy_table
2927,legacy,legacy_table
2928,legacy,legacy_table
2929,legacy,legacy_table
2930,legacy,legacy_table
2931,legacy,legacy_table
2932,legacy,legacy_table
2934,legacy,legacy_table
2935,legacy,legacy_table
2936,legacy,legacy_table
2937,legacy,legacy_table
2938,legacy,legacy_table
2939,legacy,legacy_table
2940,legacy,legacy_table
2941,legacy,legacy_table
2942,legacy,legacy_table
2943,legacy,legacy_table
2944,legacy,legacy_table
2947,legacy,legacy_table
2948,legacy,legacy_table
2949,legacy,legacy_table
2950,legacy,legacy_table
2951,legacy,legacy_table
2952,legacy,legacy_table
2953,legacy,legacy_table
2955,legacy,legacy_table
2956,legacy,legacy_table
2957,legacy,legacy_table
2958,legacy,legacy_table
2959,legacy,legacy_table
2960,legacy,legacy_table
2962,legacy,legacy_table
2963,legacy,legacy_table
2964,legacy,legacy_table
2965,legacy,legacy_table
2966,legacy,legacy_table
2967,legacy,legacy_table
2968,legacy,legacy_table
2969,legacy,legacy_table
2970,legacy,legacy_table
2971,legacy,legacy_table
2972,legacy,legacy_table
2973,legacy,legacy_table
2975,legacy,legacy_table
2976,legacy,legacy_table
2977,legacy,legacy_table
2978,legacy,legacy_table
2979,legacy,legacy_table
2980,legacy,legacy_table
2982,legacy,legacy_table
2984,legacy,legacy_table
2985,legacy,legacy_table
2986,legacy,legacy_table
2987,legacy,legacy_table
2988,legacy,legacy_table
2989,legacy,legacy_table
2990,legacy,legacy_table
2992,legacy,legacy_table
2993,legacy,legacy_table
2994,legacy,legacy_table
2995,legacy,legacy_table
2996,legacy,legacy_table
2997,legacy,legacy_table
3001,legacy,legacy_table
3002,legacy,legacy_table
3003,legacy,legacy_table
3005,legacy,legacy_table
3007,legacy,legacy_table
3015,legacy,legacy_table
3016,legacy,legacy_table
3017,legacy,legacy_table
3018,legacy,legacy_table
3023,legacy,legacy_table
3025,legacy,legacy_table
3036,legacy,legacy_table
3038,legacy,legacy_table
3048,legacy,legacy_table
3050,legacy,legacy_table
3066,legacy,legacy_table
3071,legacy,legacy_table
3085,legacy,legacy_table
3087,legacy,legacy_table
3089,legacy,legacy_table
3090,legacy,legacy_table
3093,legacy,legacy_table
3094,legacy,legacy_table
3095,legacy,legacy_table
3096,legacy,legacy_table
3097,legacy,legacy_table
3098,legacy,legacy_table
3099,legacy,legacy_table
3100,legacy,legacy_table
3102,legacy,legacy_table
3103,legacy,legacy_table
3104,legacy,legacy_table
3105,legacy,legacy_table
3106,legacy,legacy_table
3108,legacy,legacy_table
3109,legacy,legacy_table
3111,legacy,legacy_table
3112,legacy,legacy_table
3113,legacy,legacy_table
3114,legacy,legacy_table
3115,legacy,legacy_table
3117,legacy,legacy_table
3118,legacy,legacy_table
3119,legacy,legacy_table
3120,legacy,legacy_table
3122,legacy,legacy_table
3123,legacy,legacy_table
3124,legacy,legacy_table
3125,legacy,legacy_table
3127,legacy,legacy_table
3128,legacy,legacy_table
3129,legacy,legacy_table
3130,legacy,legacy_table
3135,legacy,legacy_table
3136,legacy,legacy_table
3139,legacy,legacy_table
3140,legacy,legacy_table
3141,legacy,legacy_table
3142,legacy,legacy_table
3143,legacy,legacy_table
3145,legacy,legacy_table
3146,legacy,legacy_table
3147,legacy,legacy_table
3148,legacy,legacy_table
3149,legacy,legacy_table
3150,legacy,legacy_table
3151,legacy,legacy_table
3152,legacy,legacy_table
3155,legacy,legacy_table
3156,legacy,legacy_table
3157,legacy,legacy_table
3158,legacy,legacy_table
3160,legacy,legacy_table
3161,legacy,legacy_table
3163,legacy,legacy_table
3164,legacy,legacy_table
3165,legacy,legacy_table
3166,legacy,legacy_table
3169,legacy,legacy_table
3170,legacy,legacy_table
3172,legacy,legacy_table
3173,legacy,legacy_table
3174,legacy,legacy_table
3175,legacy,legacy_table
3176,legacy,legacy_table
3177,legacy,legacy_table
3178,legacy,legacy_table
3179,legacy,legacy_table
3181,legacy,legacy_table
3186,legacy,legacy_table
3187,legacy,legacy_table
3188,legacy,legacy_table
3189,legacy,legacy_table
3190,legacy,legacy_table
3191,legacy,legacy_table
3192,legacy,legacy_table
3193,legacy,legacy_table
3194,legacy,legacy_table
3195,legacy,legacy_table
3196,legacy,legacy_table
3198,legacy,legacy_table
3199,legacy,legacy_table
3200,legacy,legacy_table
3201,legacy,legacy_table
3202,legacy,legacy_table
3204,legacy,legacy_table
3205,legacy,legacy_table
3208,legacy,legacy_table
3209,legacy,legacy_table
3210,legacy,legacy_table
3211,legacy,legacy_table
3212,legacy,legacy_table
3213,legacy,legacy_table
3214,legacy,legacy_table
3215,legacy,legacy_table
3222,legacy,legacy_table
3223,legacy,legacy_table
3224,legacy,legacy_table
3225,legacy,legacy_table
3226,legacy,legacy_table
3228,legacy,legacy_table
3229,legacy,legacy_table
3230,legacy,legacy_table
3233,legacy,legacy_table
3234,legacy,legacy_table
3235,legacy,legacy_table
3252,legacy,legacy_table
3253,legacy,legacy_table
3264,legacy,legacy_table
3265,legacy,legacy_table
3270,legacy,legacy_table
3273,legacy,legacy_table
3274,legacy,legacy_table
3275,legacy,legacy_table
3276,legacy,legacy_table
3277,legacy,legacy_table
3278,legacy,legacy_table
3280,legacy,legacy_table
3281,legacy,legacy_table
3282,legacy,legacy_table
3283,legacy,legacy_table
3284,legacy,legacy_table
3285,legacy,legacy_table
3286,legacy,legacy_table
3287,legacy,legacy_table
3290,legacy,legacy_table
3300,legacy,legacy_table
3301,legacy,legacy_table
3302,legacy,legacy_table
3304,legacy,legacy_table
3313,legacy,legacy_table
3319,legacy,legacy_table
3321,legacy,legacy_table
3322,legacy,legacy_table
3325,legacy,legacy_table
3326,legacy,legacy_table
3327,legacy,legacy_table
4043,legacy,legacy_table
4045,legacy,legacy_table
4047,legacy,legacy_table
4048,legacy,legacy_table
4050,legacy,legacy_table
4051,legacy,legacy_table
4053,legacy,legacy_table
4058,legacy,legacy_table
